question,lang,question_type
What's the best age to be?,EN,topic
"In your country how old must you be to smoke, drink, drive and get married?",EN,topic
How old were you when you left home?,EN,topic
What advice would you give to someone half your age?,EN,topic
What do you think is the best age to have children?,EN,topic
What do you think is the best age for a political leader?,EN,topic
What's the retirement age in your country?,EN,topic
Have you ever lied about your age?,EN,topic
Would you like to live until you were 1000?,EN,topic
Do you think a large age difference is unimportant in a relationship?,EN,topic
What annoys you about the English language?,EN,topic
Which celebrities annoy you?,EN,topic
What annoys you about the town where you live?,EN,topic
Do any of your friends or co-workers have annoying habits?,EN,topic
Do you think you have any annoying habits?,EN,topic
"When you're getting annoyed, do you bottle it up or let it out?",EN,topic
What really makes you mad?,EN,topic
Do you ever get annoyed with yourself?,EN,topic
Do you ever get annoyed with inanimate objects?,EN,topic
What annoying things do young/old people do?,EN,topic
Do you have any pets?,EN,topic
Have you ever been bitten or stung by an animal?,EN,topic
Are you afraid of any animals?,EN,topic
Have you ever thought about becoming vegetarian?,EN,topic
Do you like going to zoos?,EN,topic
What animals live in the wild in your country?,EN,topic
Would you like to go hunting?,EN,topic
Are you a cat person or a dog person?,EN,topic
What animals have you seen in the wild?,EN,topic
Do you think it's ok to wear fur?,EN,topic
Do you own any original pieces of art?,EN,topic
Describe an interesting photograph you've seen?,EN,topic
What pictures do you have on your walls?,EN,topic
Have you seen any famous works of art?,EN,topic
Do you have any artistic talents?,EN,topic
Who's your favourite artist?,EN,topic
How often do you visit museums or art galleries?,EN,topic
What kind of art do you like?,EN,topic
Who are the most famous artists from your country?,EN,topic
What do you think of modern art?,EN,topic
Have you ever been invited to a surprise birthday party?,EN,topic
Do you share your birthday with anyone famous?,EN,topic
How many people's birthdays do you know off by heart?,EN,topic
What's your star sign? Does your personality match your star sign?,EN,topic
What did you do for your last birthday?,EN,topic
How would you spend your perfect birthday?,EN,topic
Have you ever celebrated your birthday in another country?,EN,topic
Do you know what time of day you were born?,EN,topic
How do people celebrate birthdays in your country?,EN,topic
Do you know anyone who has their birthday on or near a big celebration day?,EN,topic
"If you don't like a book, do you still try to finish it?",EN,topic
What was the last book you read?,EN,topic
Who is your favourite author?,EN,topic
What kind of books do you like to read?,EN,topic
Have you ever read a book that had a big effect on your life?,EN,topic
Do you have an e-reader?,EN,topic
Do you sometimes reread your favourite books?,EN,topic
Can you judge a book by its cover?,EN,topic
